r,pheno,method
0.592220774608326,FT,kmeans
0.752395545432669,FT,kmeans
0.648609979671324,FT,kmeans
0.36425516566104,FT,kmeans
0.504782860026369,FT,kmeans
0.672058685358639,FT,kmeans
0.57599749941356,FT,kmeans
0.767225928579035,FT,kmeans
0.419537028999597,FT,kmeans
0.310693884908885,FT,kmeans
0.468427047714081,FT,kmeans
0.835764961067141,FT,random
0.856998466672408,FT,random
0.839303041180442,FT,random
0.778223369962555,FT,random
0.796263458038732,FT,random
0.808783946670331,FT,random
0.898229930057799,FT,random
0.78073367783366,FT,random
0.880274119066472,FT,random
0.834118902960613,FT,random
0.821559299533976,FT,random
0.5780904135771,ULA,kmeans
0.342763900886398,ULA,kmeans
0.559854002818839,ULA,kmeans
0.420234644335161,ULA,kmeans
0.16846538563068,ULA,kmeans
0.424244596052268,ULA,kmeans
0.412515213238044,ULA,kmeans
0.20660631252582,ULA,kmeans
0.225634411463196,ULA,kmeans
0.563334115795919,ULA,kmeans
0.56802062520571,ULA,kmeans
0.646518411398058,ULA,random
0.752554339546752,ULA,random
0.696175018831212,ULA,random
0.587989818856132,ULA,random
0.409630684151847,ULA,random
0.719261828081962,ULA,random
0.711776633955525,ULA,random
0.719055603818674,ULA,random
0.396646568793582,ULA,random
0.771810989769998,ULA,random
0.657384851488264,ULA,random
